pontosfrageis,pontosfortes,,
,,3,PUD002-2014.1-A
"1. Falta de participação de pais
2. Interação aluno-professor
3. Projetos que conscientizam os pais
4.Persistência da comunidade em geral
5. Apoio psicológico para casos extremos
6. Diagnósticos frágeis","1. Cooperação da PM
2.Cooperação do Conselho Tutelar
3.Cooperação do PSF
4.Cooperação do CREAS
5. Cooperação de alguns pais
6.Cooperação dos professores
7.Cooperação de todos os funcionários
8. Apoio do PROED",3,PUD002-2014.1-A
"-O trabalho de prevenção não é integrado ao currículo escolar, sendo trabalhado quando o assunto surge em alguma disciplina ou texto.
-A escola não aproveita a comunidade em que está inserida para debater o assunto.
-Falta abertura para tratar o assunto.","-A escola tem grande envolvimento em todos projetos executados.
-Os alunos se interessam pelas novidades que a escola oferece.
-A escola sempre busca movimentar a escola com projetos inovadores.",3,PUD002-2014.1-A
"A escola recebe alunos de uma comunidade em que o tráfico de drogas tem enorme penetração. Os exemplos de rapazes com menos de 15 anos já portando armas de fogo e com  dinheiro é comum. Usam muitas correntes de ouro, possuem tecnologias de ultima geração com conexão de banda larga chamada de “gatonet”, possuem muitos admiradores e admiradoras etc.
 Muitos de nossos alunos ficam deslumbrados com os exemplos que essas pessoas exibem, pois grande parte tem uma estrutura familiar completamente descaracterizada. Os valores do tráfico refletem-se fortemente nos jovens, a vida fácil, com dinheiro, armas e sexo abundante, mesmo em idade cada vez mais precoce, é comum. Os ídolos de nossos alunos me parecem os pontos mais frágeis, pois a transformação, apenas com nossas palavras e ações, na retomada de valores humanos resultam em vozes sem eco.","Quando o aluno tem uma família estruturada, e a escola pode contar com apoio dos pais os resultados são muito bons. Os pontos fortes são a paciência e a boa vontade de todos envolvidos com o processo ensino-aprendizagem, desde os professores até aos merendeiros, passando pela direção. Os alunos gostam muito de vir a escola( nos horários que lhes apetece), mas não suportam o regimento interno, nem a disciplina que precisa existir num espaço coletivo para o bom relacionamento entre todos.",3,PUD002-2014.1-A
"Os pais precisam equilibrar limites, dialogar e saber negociar com os filhos.
Ausência de referência de autoridade.
Baixa expectativas nos estudos.
Baixo nível de confiança  em relação ao sistema familiar.
Escola inserida em uma sociedade violenta e imediatista.
Fácil acesso as drogas","Ações conjuntas com a coordenação, direção e professores.
Vínculos positivos com os colegas e professores.
Convívio com limites estabelecidos e claros
Informações adquadas sobre drogas e seus efeitos.
Valorização da família",3,PUD002-2014.1-A
"Os pontos frágeis da escola são:

Educandos carentes de periferia com fatores de risco usuário de drogas;

Falta de policiamento durante o período de aula aos arredores da escola;

Famílias de classe social vulnerável, fator sócio econômico baixo sem perspectiva de melhora;

Alunos com liberdade assistida por motivos de drogas entre outras violências;","Os pontos fortes são:

Direção com trabalho de proteção para com os alunos;

Diálogo entre alunos na busca de melhoria da indisciplina;

Palestras com temas sobre: drogas, gravidez na adolescência entre outros;",3,PUD002-2014.1-A
"1_ falta comprometimento das famílias.
2_ Pouco interesse dos alunos nas atividades desenvolvidas.
3_ Espaço físico 
4_ Profissionais especializados
5_ Ausência de atividades extra curriculares.","1-Professores comprometidos
2_Total apoio da direção
3- Motivação no desenvolvimento de projetos.",3,PUD002-2014.1-A
"Um dos pontos frágeis da escola onde trabalho é a localização do bairro, com
índices de tráfico de droga  elevado,notificações em noticiários em rádio e tv na minha cidade, considerado zona de risco.
1)- A maioria dos alunos estão inscritos no bolsa família.
2)- Famílias com muitos filhos.
3)- Pais considerados baixa renda.
4)- Famílias compostas na sua maioria com com mães e filhos.","Um dos pontos fortes da escola: é a responsabilidade de pais que querem que seus filhos estudem, mantendo a assiduidade dos alunos na escola.
 
1) Direção e equipe pedagógica competente e determinados na melhora do desenvolvimento  cognitivo e físico  dos alunos.
2) Professores e funcionários comprometidos com a integridade física e mental dos alunos.
3)- Pais responsáveis.
4) Alunos educados.",3,PUD002-2014.1-A
"*Falta de regras bem claras, ocasionando o mau funcionamento da escola.

*Baixo desempenho escolar, sem nenhuma medida de reversão  tomada.

*Baixas expectativas em relação as crianças com baixo aprendizado,excluindo-as.

*Ocultar conhecimentos referentes ao aluno da família ou do responsável.

*ignorar o afastamento do aluno do grupo de funcionários,  de colegas ou do aprendizado.","*A boa inserção e adaptação do aluno ao meio escoar e aos funcionários.

*Possibilidades de desafios e expansão do corpo e da mente.

*Vínculo afetivo com professores, monitores e colegas.

*Prazer em apreender, descobrir e construir seu projeto de vida.

*Oportunidades de participação e decisão nas realizações escolares e pessoais.",3,PUD002-2014.1-A
"1- Presença do uso ou abuso de drogas lícitas no ambiente familiar;
2- Relações conflituosas na família;
3-Presença de violência como estratégias para lidar com conflitos;
4- Baixas expectativas e baixo investimento familiar em relação 
ao futuro e projeto de vida do adolescente;
5- Rigidez ou permissividade na negociação de regras familiares;","1-Fortes vínculos afetivos entre professores e alunos;
2-Relação de respeito entre alunos e professores;
3-Estímulo a pratica das atividades escolares;
4-Verbalização de expectativas positivas com relação ao desenvolvimento e desempenho dos alunos;
5-Coerência e congruência entre professores, diretora e servidores na aplicação de normas e regras escolares;",3,PUD002-2014.1-A
"Falta de interesse dos educadores.
Indiferença em relação aos problemas dos alunos.
Medo por parte da comunidade escolar.",Patrulha Escolar presente no estabelecimento.,3,PUD002-2014.1-A
"1 desconhecimento sobre o panorama do uso de drogas;
2 desconhecimento do estabelecimento sobre quantitativas de consumo de drogas; 
3 comemorações de encerramento do ano letivo alunos “gazeteiam” aulas bebem mistura de coca cola com bebida alcoólica;
4 as drogas mais consumidas no âmbito da comunidade escolar;
5. casos de repressão e estigmatização de alunos.","1 relações de respeito mútuo, compromisso e cooperação;
2 relações de cooperação entre família e escola;
3 estímulo à prática das atividades escolares;
4 verbalização de expectativas positivas;
5 promoção de práticas escolares participativas;",3,PUD002-2014.1-A
"1)Falta de comprometimento de alguns colegas;
2)Falta de um projeto interdisciplinar;
3)Estrutura deficiente do por parte Estado;
4)Proximidade com as drogas;
5)Pouca espectativa dos alunos, com relação ao futuro.","1)O comprometimento de alguns colegas;
2)Interesse da direção em fazer uma escola de qualidade;
3)Interesse dos alunos em atividade esportivas e culturais;
4)Situação financeira dos alunos e razorável;
5)Os alunos respeitam o corpo docente.",3,PUD002-2014.1-A
"1. Encontra-se na beira da BR116 (Rio - Bahia) uma rodovia critica por praticamente ligar Paraguay com o Amazonas por onde passa de tudo e tem muito pouco policiamento.
2. Encontra-se localizada em um bairro de classe baixa considerado area de risco e com minimo policiamento.
3. A escola tem um Projeto Politico-Pedagogico fraco com pouca visao e acoes referentes ao tema drogas.
4. A escola se situa em uma cidade onde aincidencia das drogas e extremadamente elevado.
5. a escola atende um publico de baixos recursos, tipicamente rural onde as familias dos alunos nao participa diretamente da educacao dos filhos e esta muito afastada deles.","1. Tem grande apoio do Conselho Comunitario de Seguranca Publica - CONSEP Fervedouro.
2. Tem uma direcao preocupada e conhecedora do tema das drogas e atua diretamente e constantemente na preparacao dos estudantes.
3. Tem um grupo de funcionarios comprometidos com a melhoria continua e abertos a acoes de prevencao.
4. a diretoria tem um contado direto com cada aluno o que permite um acompanhamento continuo do comportamento de cada um.
5. Uma escola onde o civismo, a cidadania e o patriotismo e explorado no dia a dia e pussui uma rigorosa disciplina com um enfoque especial no bom comportamento dos alunos.",3,PUD002-2014.1-A
participação dos pais e da comunidade escolar;participação dos ex alunos;participação dos ex professores; participação das empresas e colaboradores da comunidade;,participação dos alunos;diretores;professores regentes atuantes;pais de alunos;e a comunidade vizinha da escola.,3,PUD002-2014.1-A
"1º roubo por  ex alunos 
2º uma vizinhança complicada
3º uma comunidade que convive com trafico de drogas
4º Alunos que convivem com  guerra de traficantes 
5º baixa auto estima do alunos","1º uma equipe unida
2º uma diretora presente
3º uma escola segura para se trabalhar  mesmo com uma comunidade  difícil e meio violenta.
4",3,PUD002-2014.1-A
Não conseguir motivar todos os alunos.,"Pais participativos.



Profissionais que conhecem a vida particular de cada aluno.




Alunos cientes dos problemas das drogas.


Escola que motiva seus alunos a seguir alguma carreira.


Profissionais que trabalham em equipe.",3,PUD002-2014.1-A
"* Localização próxima a ponto de uso de drogas.
* Falta de conhecimento e preparo dos professores para lidar com o problema de forma aguda e continua.
*Falta de tempo e desmotivação de pais, aluno e professores de realmente dedicarem seu tempo extra a atividades na escola.","* Bom relacionamento entre direção, professores e alunos.
* Bom acompanhamento da vida escolar dos alunos pelos pais.
*Bom apoio e relacionamentos com a Polícia Militar através da Patrulha Escolar.",3,PUD002-2014.1-A
"-Desconhecimento da realidade de algumas das famílias atendidas pela escola (alunos oriundos de bairros distantes que não sabemos como realmente é sua família);
-A escola recebe muitos alunos despreparados (alunos que nunca freqüentaram a educação infantil por descaso familiar);
-Indisponibilidade de tempo por parte de alguns familiares para participar dos eventos da escola
-- Alunos recebidos de outras Escolas com déficit de aprendizagem;
- Alunos que chegam atrasados na escola por causa do transporte escolar.","-A escola utiliza com responsabilidade a autonomia;
- A escola faz bom uso do recurso financeiro;
- A equipe escolar realiza reuniões pedagógicas freqüentemente;
- Colegiado escolar é atuante e respeitado;
 -Curso de formação para professores oferecidos pela Secretaria Municipal de Educação.",3,PUD002-2014.1-A
"1.Relações  abertas, honestas, sem atitudes negativas, punitivas,
preconceituosas e excludentes;

2. Relações pouco amistosas e falta de diálogo entre família e escola;

3.Estímulo e exercício dos princípios de altruísmo, cooperação.","1 As relações de respeito mútuo, compromisso e cooperação entre agentes educativos;

2 A clareza nas definições e negociação de normas e regras junto aos alunos e professores;

3. Prormoção de práticas escolares participativas, criativas e estimulantes.",3,PUD002-2014.1-A
"- Falta de interesse dos familiares.
- Fata de união entre membros da escola.
- Falta de medidas de prevenção.
- Falta de pessoas preparadas para abordar o assunto.
- Medo por parte de alguns professores.","- Apoio de algumas instituições.
- Professores preocupados com a situação.
- Professores procurando se capacitar para saber lidar com a situação
- Apoio policial.
-",3,PUD002-2014.1-A
"Pouca participação da família na vida escolar dos seus filhos, principalmente no turno vespertino o que compromete o processo ensino aprendizagem. Desta forma a taxa de reprovação e consequente evasão do espaço escolar são grandes.
Falta de laboratório de Ciências, Biologia, química para o desenvolvimento de atividades práticas que auxiliem o aprendizado.","Localização central em relação a cidade, com um excelente entorno educacional.
Profissionais qualificados , dedicados e eficientes em sua prática docente.
Comprometimento da gestão escolar com todos os professores e demais funcionários da instituição.O que proporciona um ambiente harmonioso de trabalho.",3,PUD002-2014.1-A
"Falta de estimulo ás práticas das atividades escolares

Ausência de expectativas positivas em relação ao desempenho dos alunos tanto no aspecto formativo quanto informativo do currículo

Ausência de atividades criativas e estimulantes que concorram para a criação de vínculos entre o aluno e a escola

Relações preconceituosas para com os alunos, com a utilização de rótulos como forma de punição e exclusão

Ausência de afetividade na relação professor aluno","Estimulo a prática das atividades escolares

Verbalização das expectativas positivas com relação ao desempenho dos alunos em todos os aspectos do currículo

Promoção de praticas  escolares criativas e estimulantes, com atividades curriculares e extracurriculares que concorram para a criação de vínculos entre o aluno, a escola, os pais e a comunidade

Relações abertas, honestas, sem atitudes negativas, punitivas, pré conceituosas ou excludentes entre professores e alunos

Fortes vínculos afetivos entre professor aluno,",3,PUD002-2014.1-A
"1 - Falta de recursos financeiros para investir em atividades extra curriculares tais como: passeios em lugares históricos, museus e outros ambientes mostrando aos alunos outras realidades;

2 - Faltam atividades artísticas e esportivas no contra-turno da escola;

3 - Não há uma participação efetiva dos pais e/ou responsáveis dos alunos, onde há apenas colaboração da minoria;","Podem ser considerados pontos fortes:

1-Equipe unida e participativa;

2-Os alunos são solidários uns com os outros e sempre se expressam;

3-Gestão participativa que se preocupa principalmente com o desenvolvimento dos alunos;",3,PUD002-2014.1-A
"*Estar situada em um bairro de baixa renda e com áreas invadidas:
*Disputa do controle da venda de drogas;
*Grande número de usuários no bairro;
* violência;
*Falta de estrutura e planejamento familiar.","*Respeito da maioria dos moradores em relação a escola;
*Envolvimento dos profissionais da escola com a comunidade de alunos;
*Projetos extra-turno;
*A busca frequente por parcerias;",3,PUD002-2014.1-A
"_O maior ponto fraco da minha escola é o fato de estar passando por um momento estrutural muito difícil, pois a estrutura da escola está comprometida e estamos funcionando em condições precárias e nos encontramos estalados provisoriamente nas dependências da igreja local.","Minha escola possui funcionários comprometidos com o desenvolvimento das crianças da escola, 

Possuímos um bom relacionamento com a família, pois trabalhamos em parceria:família e escola.

contamos com o apoio pedagógico das nossas superintendentes que nos auxiliam, e norteiam nosso trabalho.",3,PUD002-2014.1-A
"Baixo desempenho escolar(comunidade)
Insatisfação com a vida
Violência familiar
Falta de oportunidade de trabalho e lazer
Disponibilidade para compra 
Pais/vizinhos que fazem uso de drogas
 
* vou falar de um modo geral nesses pontos, pois leciono em uma escola de Educação Infantil, os alunos não envolvem com drogas,mas onde a escola se localiza é ponto de risco.","Informações adequadas aos pais e responsáveis em reuniões
Respeito às leis locais
Vínculos afetivos com escola e família
Pais que acompanham desempenho escolar de seus filhos
Informações contextualizadas sobre os efeitos

* Fazemos reuniões com os pais ou responsáveis, sempre destacando a importância dos mesmos para se interessarem pela vida escolar de seus filhos e se preciso encaminhamento para psicólogos, assistência social...",3,PUD002-2014.1-A
"Como a minha escola é pequena,do 1º ao  4º ano,não existem pontos fracos.       lÉ escola rural e a média de idade é de 12 anos.","Disponibilidade dos pais na escola.
disponibilidade e atenção dos professores e diretores.
Atenção e diálogo.",3,PUD002-2014.1-A
"Proximidade com o tráfico

Pouca opção cultural para os alunos

ausência de projeto multidisciplinar para tratar dos assunto.

Ausência de projetos esportivos na entorno.

Elevado número de assassinatos entre jovens","participação da comunidade

respeito à instituição

Espaço físico que pode ser melhor explorado.

atividades no contraturno


Parcerias com outras instituições.",3,PUD002-2014.1-A
"1-AINDA NÃO TER DESENVOLVIDO UM PROJETO DE PREVENÇÃO A DROGA.

2-FRAGILIDADE NA SEGURANÇA DENTRO DO ESPAÇO ESCOLAR

3-UM PERÍODO INICIAL DE SOCIALIZAÇÃO COM AS TURMAS.

4-CAPACITAÇÃO DOS PROFESSORES PARA LIDAR COM QUESTÕES LIGADAS A DROGA EM SALA DE AULA","1- AUTONOMIA AO PROFESSOR PARA DESENVOLVER QUALQUER TIPO DE PROJETO NO ESPAÇO ESCOLAR

2-MANTER ATIVIDADES DE INTEGRAÇÃO ENTRE  ALUNOS NO ESPAÇO ESCOLAR",3,PUD002-2014.1-A
"1.articulação da escola com parcerias e equipamentos sociais que fortaleçam sua ação educativa 

2. estímulo e exercício dos princípios de altruísmo, cooperação 

3. abordagem reflexiva e pedagógica junto aos alunos, centrada em uma postura protetiva e inclusiva, sem repressão e estigmatização 

4. promoção de atividades sociais, esportivas e culturais significativas à comunidade 

5.definição, comunicação e negociação de normas, regras e limites","1. relações de respeito mútuo, compromisso e cooperação entre agentes educativos 

2. fortes vínculos afetivos entre professores e alunos; 

3.relações amistosas e de cooperação entre família e escola; 

4. estímulo à prática das atividades escolares 

5. verbalização de expectativas positivas com relação ao desenvolvimento e desempenho dos alunos",3,PUD002-2014.1-A
"Os pontos frágeis de nossa escola são o desconhecimento sobre o assunto pela maior parte das pessoas que lidam diretamente com os alunos.
Desconhecimento por parte de muitos da realidade da comunidade escolar.
Desconhecimento da realidade do aluno.",Os pontos fortes são que muitos funcionários estão tentando ampliar o conhecimento com relação ao assunto &quot;drogas&quot;.,3,PUD002-2014.1-A
"- Pouca participação da comunidade nas atividades escolares;
- Pais pouco presentes nas atividades;
- Rotatividade de professores;","- Equipe unida;
- Participação.",3,PUD002-2014.1-A
"O papel da escola é muito importante na prevenção ao uso de drogas. Mas infelizmente a escola tem vários pontos negativos a que atuo por exemplo tem alguns como:
* Proximidade com várias comunidades que tem tráfico de drogas;
* Famílias desestruturadas;
* O grupo maior é de alunos na fase da adolescência, sendo essa uma fase bem complicada;
* falta de apoio, principalmente financeiro para o desenvolvimento de projetos preventivos contra as drogas;
* Falta de capacitação e de interesse dos profissionais.","Os pontos fortes são:
* As parcerias do entorno que colaboram com alguns projetos da escola;
* Receptividade dos alunos, mesmo diante das desigualdades sociais existentes;
* ainda existem alguns profissionais que se dedicam a trabalhar com o tema, mesmo diante das dificuldades.",3,PUD002-2014.1-A
"1-Prefeitura não apoia a realização de certas atividades.

2-Alguns responsáveis de alunos afastados da escola.

3-Falta de profissionais qualificados como psicólogos. 

4-Familiares de alunos viciados em bebidas alcoólicas.

5-Receber condenados para cumprir pena na escola.","1-Bom relacionamento entre funcionários e alunos.

2-Respeito, compromisso, cooperação entre funcionários.

3-Bom relacionamento entre família e escola e vice-versa.

4-Realização de parcerias fortalecendo as ações da escola.
 
5-Realização de atividades pedagógicas participativas.",3,PUD002-2014.1-A
"Falta de motivação.
 
    Falta de planejamento.

    Falta de afetividade.

    Ausência da família na escola.

    falta de comprometimento.","Professores que podem ser  
     capacitados.

     Força de vontade de alguns 
     professores.

      Questionámento.

      incentivo de alguns professores a
      superação. 

      Dialógo com a turma.",3,PUD002-2014.1-A
"Na escola onde trabalho,ainda á um distanciamento,da família na vida escolar de seus filhos","Quando a algum problema ,com algum aluno,procuramos á melhor maneira de ajudar",3,PUD002-2014.1-A
"Apoio da sociedade para multiplicação de incentivo aos jovens.
 Ajuda dos familiares para esclarecimentos  ao combate contra usuário comunidades.
Espaço sócio educativo, e materiais educativo na escola.","Os educadores e funcionários e alunos da escola, multiplicar os trabalhos de prevenção para não acréscimo de usuários na sociedade.
Palestras contra o uso de drogas,aos alunos e comunidades
Trabalhos educativos, que envolvam famílias e  comunidades.
Caminhadas, atividades de 
incentivos a todas população,sobre a prevenção de drogas.
Atividades recreativas, desde do pré escolar para prevenção, colocando ao conhecimentos aos alunos o que é prejudicial a saúde",3,PUD002-2014.1-A
"A rebeldia dos alunos

Baixo desempenho escolar
 
Baixas expectativas em relação às crianças

Exclusão Social

Falta de vínculos com as pessoas ou com a aprendizagem","Bom desempenho escolar Boa inserção e adaptação no ambiente escolar 

Ligações fortes com a escola 
Oportunidades de participação e decisão 

Vínculos afetivos com professores e colegas 

Realização pessoal 

Possibilidades de desafios e expansão da mente",3,PUD002-2014.1-A
"Uso de Drogas lícitas como Remédios.
Dependência dos remédios.
Insegurança dos pais frente a doença.
Busca de apoio em drogas como álcool por alguns pais.
Fragilidade da família ao descobrir o problema de um membro.","A escola conta com apoio de assistente social para tratar com a família.
Conta com psicóloga para o aluno e atende os pais.
A equipe de gestão está sempre disposta a orientar a família.
A escola conta com ambiente e profissionais instruídos a dar toda atenção e apoio necessário a aluno e família.
A escola esta aberta e sem preconceitos e quando necessário visita a família para saber como pode ajudar.",3,PUD002-2014.1-A
"1 - Falta de cooperação entre a família e as atividades que a escola propõe.
2 - Promoção de práticas escolares participativas e criativas.
3 - Problemas de indisciplina com fortes relações não amistosas com alguns alunos.
4 - Poucas expressões de afetividade e confiança na relação professor/aluno.
5 - Pouco estímulo pedagógico às práticas escolares.
6 -  Pouca participação da família na vida escolar dos alunos em geral.
7 -  Os alunos convivem em áreas de risco social.","1 - Direção participativa, buscando o envolvimento e cooperação de todos os segmentos da escola.
2 - Verbalização de expectativas  positivas com relação do desempenho dos alunos.
3 - Participação da escola com parcerias para o desenvolvimento do processo educativo.
4 -Promoção de práticas escolares participativas.
5 - Existência do Projeto Escola de Tempo Integral para os alunos do 1º ao 9º Ano do Ensino Fundamental.",3,PUD002-2014.1-A
"A escola a qual eu sou diretora está situada em uma região, onde contem muitos usuário de drogas. E até usam da dependência da área externa da mesma para consumir a droga.A escola é muito aberta e sem segurança.","O ponto mais do que positivo é que é uma escola de educação infantil, com crianças de 4 e 5 anos. A relação com usuários de drogas é mais com familiares e comunidade local.",3,PUD002-2014.1-A
"Presença do uso ou abuso de drogas lícitas e ilícitas no ambiente familiar.

Baixas expectativas e baixo investimento familiar em relação ao futuro e projeto de vida do adolescente.","Sentimento do adolescente de pertencimento e integração ao sistema familiar.

Presença de diálogo como estratégias para lidar com conflitos.

Presença de referência de autoridade e limites definidos e respeitados.",3,PUD002-2014.1-A
"A falta de recursos financeiras,pouco parceria com outros órgãos, dificuldade de acesso as tecnologias por parte dos alunos por muitos deles serem da zona rural.","União, companheirismo,entusiasmo,competência,dialogo, participação do corpo docente, discente e comunidade.",3,PUD002-2014.1-A
"Presença de usuários de drogas no colégio;
Grupos cujos ambientes de lazer envolvem uso de drogas;
Fácil acesso a drogas e violência na comunidade;
Ausência de relação de cooperação entre família e escola;
Grupo envolvido com tráfico de drogas;","Presença de regras claras e referências de autoridade na escola;
Grupos com ambientes de lazer saudáveis, sem uso de drogas;
Estímulo e motivação para as atividades escolares.
A escola como ambiente seguro e protetor.
Presença de diálogo como estratégias para lidar com conflitos",3,PUD002-2014.1-A
"1- São de entrosamento com famílias que apresentam desestrutura familiar.
2-Rotatividade de funcionários da escola.
3-Desinteresse das redes que são formadas pela escola, redes estas externas.
4-Falta de recursos financeiros.
5-Falta de participação da comunidade da escola.","1- Presença de afetividade entre funcionários /alunos.
2- Palestras com familiares.
3-Definição e comunicação de normas, regras e limites.
4-Equipe escolar compromissada.
5-Formação de redes.",3,PUD002-2014.1-A
". falta de  participação dos pais  dos alunos julgados problematicos na escola

.falta de interesse dos alunos em aprender os contéudos trabalhados e concluir as atividades extra classe

. falta de equipamentos tecnologicos em funcionamento

. falta de hábito leitura por partes dos alunos
indisciplinas de  alunos
.falta de merenda.
 .falta de materiais pedagogicos
; falta de refeitório
. agressividades de alguns alunos com colegas e professores.",,3,PUD002-2014.1-A
