"","idade","sexo","escolaridade","estadocivil","ocupacao","religiao","contatoanterior","lidadiretamente","motivocurso","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","part.outrocurso","sumTime","nsessions","aprovado","meanTime"
"68","42","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Espírita","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",40860,4,"Não",170.25
"71","46","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",40200,4,"Não",167.5
"72","46 anos","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Católica","-","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",40200,4,"Não",167.5
"75","44","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Espírita","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",24780,6,"Não",68.8333333333333
"76","41","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",41160,4,"Sim",171.5
"77","41","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",41160,4,"Sim",171.5
"80","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Sim",28800,8,"Não",60
"81","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Não",28800,8,"Não",60
"83","42","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",60000,2,"Sim",500
"88","40","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",32100,6,"Sim",89.1666666666667
"94","50","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Sem religião","Sim","Não","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",22320,2,"Sim",186
"104","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",11220,4,"Não",46.75
"123","44","Feminino","Pós-graduação","Casado (a)","Outros","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",47700,4,"Sim",198.75
"130","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",20580,9,"Não",38.1111111111111
"131","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Pouco importante","Muito organizado","Sempre","Não",20580,9,"Não",38.1111111111111
"134","48","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Importante","Organizado","Às vezes","Não",13380,4,"Não",55.75
"140","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim",9840,6,"Não",27.3333333333333
"141","45","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",53400,4,"Sim",222.5
"142","45","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",49740,3,"Sim",276.333333333333
"148","44","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",13200,6,"Não",36.6666666666667
"165","43 anos","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",56700,4,"Sim",236.25
"167","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",18900,9,"Não",35
"194","54","Feminino","Pós-graduação","Divorciado (a)","Supervisor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Pouco importante","Muito organizado","Sempre","Sim",26040,8,"Não",54.25
"195","42","Feminino","Ensino Médio Completo","Casado (a)","Professor (a)","Evangélica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",54840,1,"Sim",914
"200","45 anos","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Não",54060,2,"Não",450.5
"214","48","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",41700,8,"Sim",86.875
"218","39","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",35520,7,"Sim",84.5714285714286
"225","46","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Evangélica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Organizado","Sempre","Não",12840,2,"Não",107
"227","49 anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Não",43140,3,"Não",239.666666666667
"228","52","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",27840,10,"Não",46.4
"233","40","Feminino","Ensino Superior Completo","Casado (a)","Outros","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Pouco importante","Organizado","Às vezes","Não",13080,4,"Não",54.5
"241","44","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",36480,5,"Não",121.6
"242","42","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",64200,2,"Não",535
"247","43","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Não",52080,7,"Sim",124
"259","47","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Não","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",32880,7,"Não",78.2857142857143
"262","29","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Importante","Muito organizado","Às vezes","Não",16740,4,"Não",69.75
"274","43","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",42360,2,"Sim",353
"280","39","Feminino","Pós-graduação","Divorciado (a)","Supervisor (a)","Evangélica","Sim","Sim","Identificação pessoal com o tema","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Sim",41940,6,"Não",116.5
"292","40","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",50880,3,"Sim",282.666666666667
"297","47","Feminino","Ensino Superior Completo","Casado (a)","Outros","Espírita","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Importante","Organizado","Sempre","Não",25920,5,"Sim",86.4
"304","44","Masculino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouquíssimo flexível","Pouco importante","Organizado","Às vezes","Sim",12300,4,"Não",51.25
"305","41 ANOS","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",61740,4,"Sim",257.25
"315","42 anos","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",26820,8,"Não",55.875
"318","43","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Pouco importante","Organizado","Às vezes","Sim",21120,6,"Não",58.6666666666667
"319","40","Feminino","Ensino Superior Completo","Casado (a)","Diretor (a)","Espírita","Sim","Não","Para aquisição de conhecimento na área","Adequado","Muito flexível","Muito importante","Organizado","Sempre","Não",27480,6,"Não",76.3333333333333
"324","46","Masculino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",30420,10,"Sim",50.7
"326","45","Masculino","Ensino Superior Completo","Casado (a)","Professor (a)","Sem religião","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Pouco importante","Organizado","Raramente","Não",51060,7,"Não",121.571428571429
"328","47","Masculino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Sem religião","Sim","Sim","Identificação pessoal com o tema","Pouquíssimo adequado","Pouquíssimo flexível","Pouquíssimo importante","Organizado","Sempre","Não",6960,5,"Não",23.2
"346","38","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",42720,3,"Não",237.333333333333
"347","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",42720,3,"Não",237.333333333333
"355","51","Masculino","Pós-graduação","Casado (a)","Orientador (a)","Outras","Sim","Sim","Outros","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",49980,7,"Não",119
"362","57","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Pouco importante","Organizado","Sempre","Não",40620,5,"Sim",135.4
"382","32","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",47160,4,"Não",196.5
"386","26","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Não",40200,5,"Não",134
"395","43","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",40680,8,"Não",84.75
"396","43","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",40680,8,"Não",84.75
"401","40","Feminino","Ensino Superior Completo","União Estável","Outros","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Pouco importante","Organizado","Sempre","Não",31740,3,"Sim",176.333333333333
"420","63","Masculino","Pós-graduação","Casado (a)","Outros","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Às vezes","Não",56100,3,"Não",311.666666666667
"435","56","Feminino","Ensino Superior Completo","Viúvo (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",45300,4,"Sim",188.75
"436","56","Feminino","Ensino Superior Completo","Viúvo (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",45300,4,"Sim",188.75
"450","56","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Pouco importante","Organizado","Às vezes","Sim",26700,8,"Não",55.625
"468","28","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Organizado","Sempre","Sim",60240,4,"Sim",251
"469","54","Masculino","Pós-graduação","União Estável","Professor (a)","Sem religião","Sim","Sim","Identificação profissional com o tema","Adequado","Pouco flexível","Importante","Organizado","Às vezes","Não",45720,3,"Sim",254
"472","54","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Sim","-","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",1920,4,"Sim",8
"473","cinquenta  anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",48120,5,"Sim",160.4
"476","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",10740,2,"Não",89.5
"482","33","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",39840,5,"Não",132.8
"488","30","Feminino","Ensino Superior Completo","Casado (a)","Outros","Outras","Não","Sim","Identificação profissional com o tema","Muito adequado","Pouco flexível","Importante","Muito organizado","Às vezes","Sim",42480,8,"Não",88.5
"511","41","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",37380,5,"Sim",124.6
"518","45","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",48060,5,"Sim",160.2
"527","42","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",52440,2,"Sim",437
"541","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1980,6,"Não",5.5
"553","51","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",34620,5,"Sim",115.4
"554","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",34620,5,"Sim",115.4
"571","48","Feminino","Pós-graduação","-","Professor (a)","Espírita","Não","-","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Sim",34140,5,"Não",113.8
"580","48","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",7380,6,"Não",20.5
"583","44","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Sim",62880,5,"Sim",209.6
"592","36","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",33120,8,"Sim",69
"594","55","Feminino","Pós-graduação","Solteiro (a)","Orientador (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",40440,4,"Não",168.5
"596","44","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Pouquíssimo importante","Organizado","Às vezes","Não",14340,6,"Não",39.8333333333333
"600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",420,1,"Não",7
"601","43anos","Feminino","Pós-graduação","Solteiro (a)","Outros","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",48960,1,"Não",816
"609","43","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Espírita","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Às vezes","Sim",55080,1,"Sim",918
"614","39","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Não","Identificação pessoal com o tema","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",42900,4,"Sim",178.75
"619","55","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",46020,5,"Sim",153.4
"620","55","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",46020,5,"Sim",153.4
"621","53 anao","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Sim",58560,2,"Sim",488
"622","-","-","-","-","-","-","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Muito organizado","Às vezes","Não",58560,2,"Sim",488
"623","50","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Às vezes","Não",32100,4,"Sim",133.75
"626","54 anos","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Espírita","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",43920,4,"Não",183
"628","43 anos","Feminino","Pós-graduação","Outros","Professor (a)","Católica","Não","Não","Identificação profissional com o tema","Muito adequado","Pouco flexível","Pouco importante","Organizado","Às vezes","Não",29220,5,"Sim",97.4
"634","52","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",42840,5,"Não",142.8
"635","52","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Às vezes","Não",42840,5,"Não",142.8
"643","47","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",56160,5,"Não",187.2
"644","57","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",50820,3,"Sim",282.333333333333
"665","41","Feminino","Pós-graduação","Casado (a)","-","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Não",44160,4,"Sim",184
"666","41","Feminino","Pós-graduação","Casado (a)","Outros","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",44160,4,"Sim",184
"672","23","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Organizado","Sempre","Sim",17340,4,"Sim",72.25
"696","47","Feminino","Pós-graduação","Divorciado (a)","Coordenador (a) Pedagógico","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouquíssimo flexível","Importante","Organizado","Sempre","Sim",57300,2,"Sim",477.5
"714","26","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Não",38940,9,"Sim",72.1111111111111
"715","38","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Muito organizado","Às vezes","Não",42120,6,"Sim",117
"717","42 anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",10260,3,"Não",57
"721","55","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",28440,10,"Sim",47.4
"724","38","Feminino","Pós-graduação","União Estável","Coordenador (a) Pedagógico","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Organizado","Sempre","Não",18660,3,"Sim",103.666666666667
"725","49","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",10020,6,"Não",27.8333333333333
"726","48","Feminino","Ensino Médio Completo","Casado (a)","Outros","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",24120,7,"Sim",57.4285714285714
"729","50","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Não","Identificação profissional com o tema","Muito adequado","Pouco flexível","Importante","Muito organizado","Sempre","Não",61140,3,"Sim",339.666666666667
"751","42","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Pouco importante","Organizado","Sempre","Sim",21780,8,"Não",45.375
"753","41","Feminino","Ensino Superior Completo","União Estável","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Importante","Organizado","Sempre","Não",23460,6,"Não",65.1666666666667
"754","41","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Importante","Organizado","Sempre","Não",23460,6,"Não",65.1666666666667
"762","42","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",17100,3,"Não",95
"770","40","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Não",19560,6,"Não",54.3333333333333
"774","44","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Pouco importante","Organizado","Às vezes","Sim",19800,4,"Não",82.5
"778","41","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",27060,13,"Não",34.6923076923077
"781","39","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",48780,2,"Sim",406.5
"782","39","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",48780,2,"Sim",406.5
"789","49","Feminino","Ensino Superior Completo","Casado (a)","Coordenador (a) Pedagógico","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Pouco importante","Organizado","Às vezes","Sim",38040,6,"Sim",105.666666666667
"790","49","Feminino","Ensino Superior Completo","Casado (a)","Coordenador (a) Pedagógico","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Às vezes","Sim",38040,6,"Sim",105.666666666667
"795","29","Feminino","Pós-graduação","Solteiro (a)","Outros","Espírita","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Muito importante","Muito organizado","Às vezes","Sim",34260,5,"Não",114.2
"796","41","Feminino","Pós-graduação","Solteiro (a)","Outros","Sem religião","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",34320,5,"Não",114.4
"802","40","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",33360,6,"Não",92.6666666666667
"814","40","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Não",38520,5,"Sim",128.4
